City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,la passe,45.5549,-0.8967,30.02,44,100,3.61,FR,1686145334
108,labytnangi,66.6572,66.4183,10.48,43,7,5.09,RU,1686145334
109,nadym,65.5333,72.5167,14.88,56,99,3.76,RU,1686145335
110,ulaangom,49.9811,92.0667,24.02,36,92,1.53,MN,1686145335
111,broken hill,-31.95,141.4333,14.97,82,1,7.75,AU,1686145335
112,port lincoln,-34.7333,135.8667,14.02,70,90,10.22,AU,1686145335
113,agadez,19.75,10.25,41.46,6,0,1.46,NE,1686145335
114,cabo san lucas,22.8909,-109.9124,22.61,71,0,6.69,MX,1686145072
115,gisborne,-38.6533,178.0042,13.45,80,100,6.1,NZ,1686145336
116,badger,64.8,-147.5333,15.39,65,0,1.54,US,1686145336
117,sona,45.4388,10.8255,27.69,53,40,2.06,IT,1686145336
118,yellowknife,62.456,-114.3525,8.29,76,75,4.12,CA,1686145281
119,arroyo,41.6096,-4.7969,22.0,73,75,7.2,ES,1686145337
120,flying fish cove,-10.4217,105.6791,24.82,78,40,6.17,CX,1686145337
121,qoryooley,1.7878,44.53,28.38,62,99,8.45,SO,1686145337
122,kuhdasht,33.535,47.6061,31.94,12,100,4.9,IR,1686145337
123,mawlaik,23.6333,94.4167,29.44,67,99,1.05,MM,1686145338
124,saint-francois,46.4154,3.9054,28.69,28,0,2.06,FR,1686145338
125,santiago de cao,-7.9589,-79.2392,23.07,83,73,2.57,PE,1686145338
126,hamilton,39.1834,-84.5333,18.33,69,0,3.6,US,1686145041
127,cidade velha,14.9167,-23.6167,30.26,51,20,7.72,CV,1686145338
128,kodiak,57.79,-152.4072,6.73,93,100,2.57,US,1686145339
129,pavlovsk,50.4578,40.1081,20.87,56,49,2.78,RU,1686145339
130,kapuskasing,49.4169,-82.4331,10.05,57,40,4.12,CA,1686145339
131,bardai,11.65,7.2333,32.43,41,100,3.76,NG,1686145339
132,kadhan,24.481,68.9859,31.26,66,0,7.75,PK,1686145339
133,hilo,19.7297,-155.09,21.85,91,40,2.06,US,1686145340
134,cruzeiro do sul,-29.5128,-51.9853,23.93,75,87,2.1,BR,1686145340
135,bakanas,44.8081,76.2772,33.16,15,35,5.05,KZ,1686145340
136,turpan,42.9333,89.1667,37.68,8,0,1.63,CN,1686145340
137,st. john's,47.5649,-52.7093,10.93,97,100,5.14,CA,1686145191
138,pangai,-19.8,-174.35,21.69,86,100,3.39,TO,1686145341
139,cherepovets,59.1333,37.9,13.9,62,75,2.0,RU,1686145125
140,tenenkou,14.4572,-4.9169,41.77,8,53,3.26,ML,1686145341
141,odda,60.0691,6.5457,18.27,53,21,2.68,NO,1686145341
142,nabire,-3.3667,135.4833,25.34,90,100,1.35,ID,1686145341
143,anadyr,64.75,177.4833,8.28,71,40,3.0,RU,1686145342
144,buckeye,33.3703,-112.5838,22.83,25,0,0.0,US,1686145342
145,hawaiian paradise park,19.5933,-154.9731,21.73,91,40,2.06,US,1686145342
146,talnakh,69.4865,88.3972,12.34,87,86,4.41,RU,1686145342
147,conduaga,8.862,117.4893,27.38,82,71,1.81,PH,1686145342
148,erraguntla,14.6333,78.5333,38.23,28,97,2.74,IN,1686145343
149,andovoranto,-18.95,49.1,22.8,89,50,0.64,MG,1686145343
150,aasiaat,68.7098,-52.8699,-0.84,76,79,5.94,GL,1686145343
151,sisimiut,66.9395,-53.6735,-0.19,74,66,2.39,GL,1686145344
152,antsiranana,-12.2787,49.2917,27.42,57,20,7.2,MG,1686145344
153,mahanoro,-19.9,48.8,22.85,89,19,2.34,MG,1686145344
154,whakatane,-37.9585,176.9854,10.84,90,49,0.45,NZ,1686145158
155,acapulco de juarez,16.8634,-99.8901,26.9,78,40,1.03,MX,1686145341
156,tiquipaya,-17.3382,-66.2189,11.4,50,0,0.0,BO,1686145345
157,thompson,55.7435,-97.8558,19.09,100,75,1.54,CA,1686145345
158,port elizabeth,-33.918,25.5701,20.16,63,0,9.77,ZA,1686145345
159,katabu,-4.9333,122.5167,23.22,93,100,1.85,ID,1686145345
160,keflavik,64.0049,-22.5624,8.95,71,100,7.2,IS,1686145346
161,howrah,22.5892,88.3103,32.0,58,40,2.06,IN,1686145346
162,kavaratti,10.5669,72.642,29.64,73,100,8.3,IN,1686145346
